"name","totalscore","chinese","math","english"
"Ö£¹נ",339,138,94,107
"Àמהלהל",297,72,133,92
"Ö£י×Àצ",339,105,115,119
"Ç®י×הל",301,70,128,103
"Ëןי×",316,116,92,108
"ÎגË§¿­",367,144,91,132
"ÀמË§Ó¨",319,100,79,140
"Îג¹נ¿­",286,83,94,109
"ÕÔË§הל",306,65,129,112
"Àמ¼Ñהל",326,143,91,92
"ÖÜÙ»",276,111,83,82
"ÖÜÁÕ",348,98,100,150
"Îגי×",354,128,86,140
"ÖÜ¹נÓ¨",362,113,114,135
"Ç®¼Ñהל",295,75,116,104
"Ç®¼ÑÀצ",276,72,103,101
"ÍץË§¿­",381,124,121,136
"ÕÔי×",258,68,108,82
"Íץ¼Ñ",292,74,80,138
"Ëןהלהל",272,62,121,89
